# DOWNLOADS FOR EACH RELEASE:
v1.0.2-snowfeather.robotics | downloads: 1
v1.1.1-space.fauna | downloads: 1
v1.0-space.fauna | downloads: 1
v1.0.2-bunrodea.missions | downloads: 1
v1.1.2-more.boarding.missions | downloads: 1
v1.0.1-coalition.shopping | downloads: 2
v1.0.2-real.fluff | downloads: 1
v1.0.1-gegno.pirates | downloads: 171
v1.1.2-hai.side.mission.unlocker | downloads: 1
v1.1.1-hai.side.mission.unlocker | downloads: 1
v1.1.1-more.boarding.missions | downloads: 2
v1.1-hai.side.mission.unlocker | downloads: 1
v1.0-hai.side.mission.unlocker | downloads: 1
v1.0.2-more.arfectas | downloads: 654
v1.0.1-more.arfectas | downloads: 1
v1.0.1-snowfeather.robotics | downloads: 2
v1.0.1-real.fluff | downloads: 2
v1.0.1-devil-run.unhidden | downloads: 65
v1.0.1-bunrodea.missions | downloads: 1
v1.1-disable.spaceport.repeatables | downloads: 1
v1.1-captureable.person.ships | downloads: 4
v1.0-unique.fix | downloads: 44
v1.0-too.many.asteroids | downloads: 2
v1.0-snowfeather.robotics | downloads: 4
v1.0-show.reputation | downloads: 141
v1.0-real.fluff | downloads: 4
v1.0-planet.map | downloads: 25
v1.0-pirate.warlords | downloads: 3
v1.0-no.more.mereti.mines | downloads: 1
v1.0-navy.licenses | downloads: 8
v1.0-more.boarding.missions | downloads: 4
v1.0-more.arfectas | downloads: 1
v1.0-kor.efret.shipyard | downloads: 155
v1.0-gegno.pirates | downloads: 1
v1.0-free.worlds.5.years.later | downloads: 360
v1.0-expert.crew.members | downloads: 4
v1.0-disable.person.ships | downloads: 265
v1.0-devil-run.unhidden | downloads: 1
v1.0-coalition.shopping | downloads: 1
v1.0-bunrodea.missions | downloads: 4
v1.0-better.starts | downloads: 4
v1.0-automata.in.human.space | downloads: 61
v1.0-automata.destruction.0percent | downloads: 1
v1.0-additional.command.buttons | downloads: 1
v1.1-galactic.capital.investment | downloads: 29


# NUMBER OF RELEASES: 245
# TOTAL DOWNLOADS: 22874


# TOTAL DOWNLOAD NUMBER FOR EACH PLUGIN:
additional.command.buttons 93
additional.command.buttons.radial 921
automata.destruction.0percent 561
automata.in.human.space 469
avgi.licenses 229
better.starts 606
boss.loot 58
bunrodea.missions 807
captureable.person.ships 584
coalition.shopping 650
combat.ai 303
control.station 507
devil-run.unhidden 66
disable.person.ships 265
disable.spaceport.repeatables 397
expert.crew.members 799
flare.play 139
free.worlds.5.years.later 369
galactic.capital.investment 904
gegno.pirates 742
hai.side.mission.unlocker 518
highrollers.ltd 182
human.labels 439
jump.gates 566
kestrel.unlocks 486
kor.efret.shipyard 699
landing.images 505
landing.images.android 349
landing.images.highres 361
licenses 300
mission.helper 538
more.arfectas 656
more.boarding.missions 721
more.person.ships 488
navy.licenses 575
no.more.mereti.mines 412
outfits.weapon.slot 453
paint.your.ships 519
pirate.warlords 3
planet.map 313
planet.pluto 190
quarg.farm 726
real.fluff 93
show.reputation 619
snowfeather.robotics 556
space.fauna 391
too.many.asteroids 774
tribute.republic 348
unique.fix 44
uniques 581
