# DOWNLOADS FOR EACH RELEASE:
v1.0.2-snowfeather.robotics | downloads: 1
v1.1.1-space.fauna | downloads: 1
v1.0-space.fauna | downloads: 1
v1.0.2-bunrodea.missions | downloads: 1
v1.1.2-more.boarding.missions | downloads: 1
v1.0.1-coalition.shopping | downloads: 2
v1.0.2-real.fluff | downloads: 1
v1.0.1-gegno.pirates | downloads: 134
v1.1.2-hai.side.mission.unlocker | downloads: 1
v1.1.1-hai.side.mission.unlocker | downloads: 1
v1.1.1-more.boarding.missions | downloads: 2
v1.1-hai.side.mission.unlocker | downloads: 1
v1.0-hai.side.mission.unlocker | downloads: 1
v1.0.2-more.arfectas | downloads: 127
v1.0.1-more.arfectas | downloads: 1
v1.0.1-snowfeather.robotics | downloads: 2
v1.0.1-real.fluff | downloads: 2
v1.0.1-devil-run.unhidden | downloads: 65
v1.0.1-bunrodea.missions | downloads: 1
v1.1-disable.spaceport.repeatables | downloads: 1
v1.1-captureable.person.ships | downloads: 4
v1.0-unique.fix | downloads: 44
v1.0-too.many.asteroids | downloads: 2
v1.0-snowfeather.robotics | downloads: 4
v1.0-show.reputation | downloads: 89
v1.0-real.fluff | downloads: 4
v1.0-planet.map | downloads: 25
v1.0-pirate.warlords | downloads: 2
v1.0-no.more.mereti.mines | downloads: 1
v1.0-navy.licenses | downloads: 8
v1.0-more.boarding.missions | downloads: 4
v1.0-more.arfectas | downloads: 1
v1.0-kor.efret.shipyard | downloads: 112
v1.0-gegno.pirates | downloads: 1
v1.0-free.worlds.5.years.later | downloads: 72
v1.0-expert.crew.members | downloads: 4
v1.0-disable.person.ships | downloads: 65
v1.0-devil-run.unhidden | downloads: 1
v1.0-coalition.shopping | downloads: 1
v1.0-bunrodea.missions | downloads: 4
v1.0-better.starts | downloads: 4
v1.0-automata.in.human.space | downloads: 61
v1.0-automata.destruction.0percent | downloads: 1
v1.0-additional.command.buttons | downloads: 1
v1.1-galactic.capital.investment | downloads: 28


# NUMBER OF RELEASES: 128
# TOTAL DOWNLOADS: 3709


# TOTAL DOWNLOAD NUMBER FOR EACH PLUGIN:
additional.command.buttons 85
additional.command.buttons.radial 139
automata.destruction.0percent 87
automata.in.human.space 68
better.starts 100
bunrodea.missions 115
captureable.person.ships 95
coalition.shopping 122
control.station 93
devil-run.unhidden 66
disable.person.ships 65
disable.spaceport.repeatables 78
expert.crew.members 114
free.worlds.5.years.later 72
galactic.capital.investment 148
gegno.pirates 135
hai.side.mission.unlocker 98
human.labels 84
jump.gates 99
kestrel.unlocks 55
kor.efret.shipyard 112
landing.images 69
landing.images.android 86
landing.images.highres 65
more.arfectas 129
more.boarding.missions 103
more.person.ships 109
navy.licenses 138
no.more.mereti.mines 74
outfits.weapon.slot 46
paint.your.ships 33
pirate.warlords 2
planet.map 65
quarg.farm 114
real.fluff 93
show.reputation 89
snowfeather.robotics 102
space.fauna 95
too.many.asteroids 109
tribute.republic 57
unique.fix 44
uniques 57
