# DOWNLOADS FOR EACH RELEASE:
v1.0.7-coalition.shopping | downloads: 7290
v1.0.5-too.many.asteroids | downloads: 3488
v1.0.4-planet.map | downloads: 5098
v1.0.4-no.more.mereti.mines | downloads: 5569
v1.0.4-jump.gates | downloads: 6130
v1.0.4-gegno.pirates | downloads: 3054
v1.0.3-tribute.republic | downloads: 5523
v1.0.3-more.arfectas | downloads: 5129
v1.0.3-kor.efret.shipyard | downloads: 6204
v1.0.2-highrollers.ltd | downloads: 5754
v1.0.2-automata.in.human.space | downloads: 7010
v1.0.2-automata.destruction.0percent | downloads: 6368
v1.0.1-kestrel.unlocks | downloads: 5912
v1.0.1-disable.person.ships | downloads: 6105
v1.0.5-landing.images | downloads: 6035
v1.0.3-landing.images.highres | downloads: 5754
v1.0.25-additional.command.buttons.radial | downloads: 330
v1.1.9-galactic.capital.investment | downloads: 959
v1.0.1-ship.merging | downloads: 274
v1.0.0-ship.merging | downloads: 15
v1.0.24-additional.command.buttons.radial | downloads: 61
v1.0.11-uniques | downloads: 207
v1.0.8-combat.ai | downloads: 730
v1.0.7-combat.ai | downloads: 56
v1.0.6-combat.ai | downloads: 12
v1.0.0-boss.loot | downloads: 194
v1.0.5-combat.ai | downloads: 53
v1.0.2-flare.play | downloads: 223
v1.0.7-mission.helper | downloads: 655
v1.0.9-expert.crew.members | downloads: 5357
v1.0.10-uniques | downloads: 95
v1.0.8-expert.crew.members | downloads: 20
v1.0.7-human.labels | downloads: 5923
v1.0.5-show.reputation | downloads: 3068
v1.0.3-paint.your.ships | downloads: 5212
v1.1.9-captureable.person.ships | downloads: 1540
v1.0.9-bunrodea.missions | downloads: 7975
v1.0.5-better.starts | downloads: 7922
v1.0.4-control.station | downloads: 185
v1.0.6-mission.helper | downloads: 66
v1.0.5-mission.helper | downloads: 11
v1.0.4-combat.ai | downloads: 116
v1.1.8-galactic.capital.investment | downloads: 217
v1.0.3-combat.ai | downloads: 8
v1.0.1-free.worlds.5.years.later | downloads: 15
v1.0.23-additional.command.buttons.radial | downloads: 168
v1.1.8-captureable.person.ships | downloads: 48
v1.1.7-galactic.capital.investment | downloads: 28
v1.1.5-more.boarding.missions | downloads: 3345
v1.1.5-hai.side.mission.unlocker | downloads: 2838
v1.0.6-snowfeather.robotics | downloads: 6194
v1.0.6-human.labels | downloads: 43
v1.0.5-quarg.farm | downloads: 410
v1.0.4-show.reputation | downloads: 55
v1.0.4-mission.helper | downloads: 35
v1.0.3-more.person.ships | downloads: 5863
v1.0.3-control.station | downloads: 40
v1.0.2-paint.your.ships | downloads: 48
v1.0.2-control.station | downloads: 4
v1.0.1-outfits.weapon.slot | downloads: 6119
v1.0.2-combat.ai | downloads: 46
v1.0.1-combat.ai | downloads: 3
v1.0.0-combat.ai | downloads: 74
v1.0.1-licenses | downloads: 7285
v1.0.0-licenses | downloads: 3
v1.0.3-mission.helper | downloads: 96
v1.0.1-flare.play | downloads: 119
v1.0.22-additional.command.buttons.radial | downloads: 106
v1.0.0-flare.play | downloads: 9
v1.0.21-additional.command.buttons.radial | downloads: 28
v1.0.20-additional.command.buttons.radial | downloads: 14
v1.0.4-quarg.farm | downloads: 84
v1.0.9-uniques | downloads: 163
v1.0.3-planet.map | downloads: 527
v1.0.8-bunrodea.missions | downloads: 206
v1.0.7-expert.crew.members | downloads: 215
v1.1.6-galactic.capital.investment | downloads: 203
v1.0.19-additional.command.buttons.radial | downloads: 121
v1.0.1-highrollers.ltd | downloads: 226
v1.0.3-gegno.pirates | downloads: 458
v1.0.0-highrollers.ltd | downloads: 12
v1.0.18-additional.command.buttons.radial | downloads: 33
v1.0.2-mission.helper | downloads: 204
v1.0.17-additional.command.buttons.radial | downloads: 23
v1.0.16-additional.command.buttons.radial | downloads: 5
v1.0.1-mission.helper | downloads: 27
v1.0.0-mission.helper | downloads: 39
v1.1.5-galactic.capital.investment | downloads: 136
v1.0.7-bunrodea.missions | downloads: 142
v1.0.5-human.labels | downloads: 151
v1.1.4-more.boarding.missions | downloads: 275
v1.0.6-bunrodea.missions | downloads: 7
v1.0.3-jump.gates | downloads: 370
v1.0.15-additional.command.buttons.radial | downloads: 72
v1.0.6-expert.crew.members | downloads: 157
v1.0.0-avgi.licenses | downloads: 233
v1.0.14-additional.command.buttons.radial | downloads: 12
v1.0.5-expert.crew.members | downloads: 27
v1.1.7-captureable.person.ships | downloads: 232
v1.0.8-uniques | downloads: 143
v1.0.3-quarg.farm | downloads: 198
v1.0.7-uniques | downloads: 6
v1.0.4-too.many.asteroids | downloads: 1320
v1.0.3-show.reputation | downloads: 259
v1.0.13-additional.command.buttons.radial | downloads: 94
v1.0.4-better.starts | downloads: 331
v1.0.5-bunrodea.missions | downloads: 121
v1.0.2-planet.pluto | downloads: 172
v1.0.2-planet.map | downloads: 81
v1.0.2-jump.gates | downloads: 71
v1.0.4-expert.crew.members | downloads: 91
v1.0.1-planet.pluto | downloads: 23
v1.0.0-planet.pluto | downloads: 2
v1.0.12-additional.command.buttons.radial | downloads: 49
v1.0.11-additional.command.buttons.radial | downloads: 2
v1.1.6-captureable.person.ships | downloads: 89
v1.0.6-uniques | downloads: 74
v1.0.3-navy.licenses | downloads: 367
v1.0.6-coalition.shopping | downloads: 559
v1.0.5-snowfeather.robotics | downloads: 306
v1.0.4-snowfeather.robotics | downloads: 5
v1.0.2-kor.efret.shipyard | downloads: 631
v1.0.10-additional.command.buttons.radial | downloads: 41
v1.0.3-better.starts | downloads: 70
v1.0.2-show.reputation | downloads: 108
v1.0.1-show.reputation | downloads: 2
v1.1.4-galactic.capital.investment | downloads: 231
v1.0.9-additional.command.buttons.radial | downloads: 31
v1.0.2-gegno.pirates | downloads: 253
v1.0.1-kor.efret.shipyard | downloads: 16
v1.0.2-more.person.ships | downloads: 278
v1.0.8-additional.command.buttons.radial | downloads: 20
v1.0.2-better.starts | downloads: 35
v1.1.5-captureable.person.ships | downloads: 54
v1.0.7-additional.command.buttons.radial | downloads: 9
v1.0.4-landing.images | downloads: 502
v1.0.3-landing.images | downloads: 2
v1.0.3-expert.crew.members | downloads: 120
v1.0.2-quarg.farm | downloads: 190
v1.0.2-landing.images.highres | downloads: 335
v1.0.5-uniques | downloads: 82
v1.0.3-too.many.asteroids | downloads: 235
v1.0.1-automata.in.human.space | downloads: 463
v1.0.4-uniques | downloads: 12
v1.0.3-uniques | downloads: 5
v1.0.5-coalition.shopping | downloads: 92
v1.0.4-coalition.shopping | downloads: 1
v1.0.2-uniques | downloads: 19
v1.1.4-hai.side.mission.unlocker | downloads: 356
v1.0.6-additional.command.buttons.radial | downloads: 48
v1.0.3-no.more.mereti.mines | downloads: 409
v1.0.1-paint.your.ships | downloads: 413
v1.0.0-paint.your.ships | downloads: 4
v1.0.5-additional.command.buttons.radial | downloads: 18
v1.0.1-uniques | downloads: 14
v1.0.4-additional.command.buttons.radial | downloads: 5
v1.0.3-additional.command.buttons.radial | downloads: 10
v1.0.2-additional.command.buttons.radial | downloads: 4
v1.0.0-outfits.weapon.slot | downloads: 378
v1.0.1-more.person.ships | downloads: 83
v1.0.1-additional.command.buttons.radial | downloads: 10
v1.0.1-planet.map | downloads: 108
