# DOWNLOADS FOR EACH RELEASE:
v1.0.1-more.arfectas | downloads: 1
v1.0.1-snowfeather.robotics | downloads: 2
v1.0.1-real.fluff | downloads: 2
v1.0.1-devil-run.unhidden | downloads: 65
v1.0.1-bunrodea.missions | downloads: 1
v1.1-disable.spaceport.repeatables | downloads: 1
v1.1-captureable.person.ships | downloads: 4
v1.0-unique.fix | downloads: 44
v1.0-too.many.asteroids | downloads: 2
v1.0-snowfeather.robotics | downloads: 4
v1.0-show.reputation | downloads: 141
v1.0-real.fluff | downloads: 4
v1.0-planet.map | downloads: 25
v1.0-pirate.warlords | downloads: 3
v1.0-no.more.mereti.mines | downloads: 1
v1.0-navy.licenses | downloads: 8
v1.0-more.boarding.missions | downloads: 4
v1.0-more.arfectas | downloads: 1
v1.0-kor.efret.shipyard | downloads: 155
v1.0-gegno.pirates | downloads: 1
v1.0-free.worlds.5.years.later | downloads: 360
v1.0-expert.crew.members | downloads: 4
v1.0-disable.person.ships | downloads: 322
v1.0-devil-run.unhidden | downloads: 1
v1.0-coalition.shopping | downloads: 1
v1.0-bunrodea.missions | downloads: 4
v1.0-better.starts | downloads: 4
v1.0-automata.in.human.space | downloads: 61
v1.0-automata.destruction.0percent | downloads: 1
v1.0-additional.command.buttons | downloads: 1
v1.1-galactic.capital.investment | downloads: 29


# NUMBER OF RELEASES: 272
# TOTAL DOWNLOADS: 29235


# TOTAL DOWNLOAD NUMBER FOR EACH PLUGIN:
additional.command.buttons 93
additional.command.buttons.radial 1116
automata.destruction.0percent 716
automata.in.human.space 581
avgi.licenses 229
better.starts 769
boss.loot 262
bunrodea.missions 1021
captureable.person.ships 720
coalition.shopping 824
combat.ai 531
control.station 663
devil-run.unhidden 66
disable.person.ships 350
disable.spaceport.repeatables 504
expert.crew.members 992
flare.play 246
free.worlds.5.years.later 369
galactic.capital.investment 1125
gegno.pirates 946
hai.side.mission.unlocker 663
highrollers.ltd 289
human.labels 568
jump.gates 701
kestrel.unlocks 632
kor.efret.shipyard 858
landing.images 647
landing.images.android 349
landing.images.highres 468
licenses 533
mission.helper 810
more.arfectas 820
more.boarding.missions 885
more.person.ships 608
navy.licenses 575
no.more.mereti.mines 506
outfits.weapon.slot 571
paint.your.ships 665
pirate.warlords 3
planet.map 408
planet.pluto 190
quarg.farm 906
real.fluff 93
ship.merging 182
show.reputation 794
snowfeather.robotics 714
space.fauna 492
too.many.asteroids 952
tribute.republic 440
unique.fix 44
uniques 746
