# DOWNLOADS FOR EACH RELEASE:
v1.0.13-combat.ai | downloads: 318
v1.0.4-paint.your.ships | downloads: 357
v1.0.15-uniques | downloads: 392
v1.0.9-boss.loot | downloads: 415
v1.1.8-hai.side.mission.unlocker | downloads: 446
v1.0.1-fleet.mercy | downloads: 518
v1.0.0-fleet.mercy | downloads: 67
v1.0.4-vague.improvements | downloads: 677
v1.0.28-additional.command.buttons.radial | downloads: 879
v1.1.11-captureable.person.ships | downloads: 903
v1.0.14-uniques | downloads: 337
v1.0.11-mission.helper | downloads: 835
v1.0.10-expert.crew.members | downloads: 776
v1.0.8-control.station | downloads: 974
v1.0.7-ship.merging | downloads: 801
v1.0.3-vague.improvements | downloads: 32
v1.0.12-combat.ai | downloads: 1115
v1.0.4-job.coloring | downloads: 1178
v1.0.1-heavy.traffic | downloads: 1915
v1.0.3-job.coloring | downloads: 822
v1.1.13-galactic.capital.investment | downloads: 2170
v1.1.12-galactic.capital.investment | downloads: 374
v1.0.0-heavy.traffic | downloads: 184
v1.1.7-hai.side.mission.unlocker | downloads: 2054
v1.1.6-more.boarding.missions | downloads: 2773
v1.1.6-hai.side.mission.unlocker | downloads: 12
v1.1.4-space.fauna | downloads: 2476
v1.0.10-mission.helper | downloads: 2179
v1.0.8-boss.loot | downloads: 2762
v1.0.7-control.station | downloads: 2322
v1.0.6-show.reputation | downloads: 2742
v1.0.6-ship.merging | downloads: 2054
v1.0.1-comets | downloads: 2221
v1.0.6-gegno.pirates | downloads: 2804
v1.0.5-gegno.pirates | downloads: 10
v1.0.2-job.coloring | downloads: 442
v1.0.7-boss.loot | downloads: 809
v1.0.1-job.coloring | downloads: 75
v1.0.0-job.coloring | downloads: 5
v1.0.0-comets | downloads: 233
v1.0.6-boss.loot | downloads: 1152
v1.0.5-boss.loot | downloads: 15
v1.0.4-boss.loot | downloads: 217
v1.1.10-captureable.person.ships | downloads: 4087
v1.1.11-galactic.capital.investment | downloads: 2970
v1.1.10-galactic.capital.investment | downloads: 109
v1.0.4-flare.play | downloads: 4547
v1.0.3-boss.loot | downloads: 933
v1.0.27-additional.command.buttons.radial | downloads: 5511
v1.0.9-mission.helper | downloads: 2536
v1.0.5-ship.merging | downloads: 2455
v1.0.2-vague.improvements | downloads: 1531
v1.0.11-combat.ai | downloads: 5075
v1.0.10-combat.ai | downloads: 20
v1.0.9-combat.ai | downloads: 6
v1.0.1-vague.improvements | downloads: 61
v1.0.4-ship.merging | downloads: 273
v1.0.3-ship.merging | downloads: 16
v1.0.0-vague.improvements | downloads: 29
v1.0.13-uniques | downloads: 4434
