# DOWNLOADS FOR EACH RELEASE:
v1.0.15-additional.command.buttons.radial | downloads: 2
v1.0.6-expert.crew.members | downloads: 3
v1.0.0-avgi.licenses | downloads: 1
v1.0.14-additional.command.buttons.radial | downloads: 10
v1.0.5-expert.crew.members | downloads: 25
v1.1.7-captureable.person.ships | downloads: 24
v1.0.8-uniques | downloads: 19
v1.0.3-quarg.farm | downloads: 24
v1.0.7-uniques | downloads: 5
v1.0.4-too.many.asteroids | downloads: 47
v1.0.3-show.reputation | downloads: 25
v1.0.13-additional.command.buttons.radial | downloads: 93
v1.0.4-better.starts | downloads: 77
v1.0.5-bunrodea.missions | downloads: 105
v1.0.2-planet.pluto | downloads: 41
v1.0.2-planet.map | downloads: 32
v1.0.2-jump.gates | downloads: 68
v1.0.4-expert.crew.members | downloads: 90
v1.0.1-planet.pluto | downloads: 22
v1.0.0-planet.pluto | downloads: 1
v1.0.12-additional.command.buttons.radial | downloads: 47
v1.0.11-additional.command.buttons.radial | downloads: 1
v1.1.6-captureable.person.ships | downloads: 88
v1.0.6-uniques | downloads: 73
v1.0.3-navy.licenses | downloads: 160
v1.0.6-coalition.shopping | downloads: 133
v1.0.5-snowfeather.robotics | downloads: 99
v1.0.4-snowfeather.robotics | downloads: 3
v1.0.2-kor.efret.shipyard | downloads: 169
v1.0.10-additional.command.buttons.radial | downloads: 40
v1.0.3-better.starts | downloads: 69
v1.0.2-show.reputation | downloads: 107
v1.0.1-show.reputation | downloads: 1
v1.1.4-galactic.capital.investment | downloads: 218
v1.0.9-additional.command.buttons.radial | downloads: 29
v1.0.2-gegno.pirates | downloads: 183
v1.0.1-kor.efret.shipyard | downloads: 15
v1.0.2-more.person.ships | downloads: 133
v1.0.8-additional.command.buttons.radial | downloads: 20
v1.0.2-better.starts | downloads: 35
v1.1.5-captureable.person.ships | downloads: 54
v1.0.7-additional.command.buttons.radial | downloads: 9
v1.0.4-landing.images | downloads: 154
v1.0.3-landing.images | downloads: 2
v1.0.3-expert.crew.members | downloads: 120
v1.0.2-quarg.farm | downloads: 190
v1.0.2-landing.images.highres | downloads: 106
v1.0.5-uniques | downloads: 82
v1.0.3-too.many.asteroids | downloads: 235
v1.0.1-automata.in.human.space | downloads: 167
v1.0.4-uniques | downloads: 12
v1.0.3-uniques | downloads: 5
v1.0.5-coalition.shopping | downloads: 92
v1.0.4-coalition.shopping | downloads: 1
v1.0.2-uniques | downloads: 19
v1.1.4-hai.side.mission.unlocker | downloads: 188
v1.0.6-additional.command.buttons.radial | downloads: 48
v1.0.3-no.more.mereti.mines | downloads: 159
v1.0.1-paint.your.ships | downloads: 222
v1.0.0-paint.your.ships | downloads: 4
